	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
GENE_0425	600.0	500.0	380.0	630.0	480.0	470.0
GENE_0426	390.0	370.0	350.0	310.0	250.0	210.0
GENE_0427	250.0	600.0	200.0	180.0	380.0	680.0
GENE_0428	450.0	260.0	440.0	610.0	610.0	520.0
GENE_0429	560.0	240.0	340.0	610.0	360.0	470.0
GENE_0430	380.0	160.0	230.0	410.0	680.0	580.0
GENE_0431	490.0	920.0	340.0	390.0	380.0	640.0
GENE_0432	930.0	530.0	240.0	1762.7473710723912	157.14486656495393	970.0
GENE_0433	680.0	440.0	230.0	590.0	690.0	330.0
GENE_0434	240.0	230.0	400.0	520.0	590.0	660.0
GENE_0435	250.0	260.0	530.0	280.0	420.0	320.0
GENE_0436	550.0	320.0	380.0	530.0	95.4619216443468	440.0
GENE_0437	350.0	300.0	620.0	80.0	450.0	480.0
GENE_0438	530.0	890.0	1060.0	1316.9835241222424	200.0	840.0
GENE_0439	580.0	730.0	190.0	610.0	730.0	650.0
GENE_0440	590.0	660.0	630.0	137.03834018876069	47.80852394993542	725.8455335233659
GENE_0441	830.0	430.0	330.0	400.0	400.0	420.0
GENE_0442	580.0	390.0	640.0	490.0	740.0	350.0
GENE_0443	510.0	760.0	220.0	400.0	430.0	1387.301940077445
GENE_0444	430.0	580.0	510.0	790.0	350.0	700.0
GENE_0445	280.0	210.0	570.0	279.6195588079692	470.0	170.0
GENE_0446	260.0	180.0	200.0	290.0	450.0	420.0
GENE_0447	240.0	240.0	860.0	184.66760807772133	560.0	670.0
GENE_0448	460.0	300.0	440.0	516.743997634016	380.0	580.0
GENE_0449	340.0	190.0	810.0	350.0	370.0	580.0
GENE_0450	500.0	400.0	240.0	530.0	260.0	590.0
GENE_0451	390.0	320.0	480.0	2348.342704717036	460.0	470.0
GENE_0452	640.0	680.0	1010.0	500.0	190.0	420.0
GENE_0453	310.0	770.0	770.0	1937.5002877262411	490.0	300.0
GENE_0454	370.0	260.0	360.0	208.659317461441	500.0	1113.439316493288
GENE_0455	420.0	570.0	540.0	490.0	131.69015710868123	640.0
GENE_0456	660.0	620.0	630.0	520.0	370.0	810.0
GENE_0457	310.0	410.0	970.0	966.4005310521538	730.0	600.0
GENE_0458	530.0	310.0	330.0	280.0	370.0	570.0
GENE_0459	760.0	280.0	500.0	200.0	154.9074872030904	1060.415151139141
GENE_0460	240.0	390.0	270.0	850.0	390.0	460.0
GENE_0461	380.0	770.0	270.0	550.0	650.0	720.0
GENE_0462	650.0	770.0	220.0	690.0	450.0	1448.730716641554
GENE_0463	450.0	740.0	150.0	256.1496057350227	2142.410687624462	600.0
GENE_0464	520.0	310.0	830.0	290.8802206729339	761.9095550426662	180.0
GENE_0465	380.0	340.0	460.0	630.0	130.0	180.0
GENE_0466	530.0	430.0	400.0	490.0	450.0	990.0
GENE_0467	380.0	650.0	420.0	740.0	560.0	320.0
GENE_0468	300.0	370.0	370.0	914.2512606543585	240.0	540.0
GENE_0469	210.0	660.0	470.0	680.0	200.0	310.0
GENE_0470	680.0	420.0	450.0	400.0	200.0	400.0
GENE_0471	480.0	390.0	380.0	530.0	1598.6406193808305	506.313888152881
GENE_0472	470.0	320.0	620.0	400.0	350.0	430.0
GENE_0473	530.0	280.0	460.0	540.0	364.5663006355273	400.0
GENE_0474	710.0	670.0	400.0	660.0	670.0	300.0
GENE_0475	190.0	170.0	510.0	880.0	480.0	310.0
GENE_0476	290.0	390.0	660.0	400.0	310.0	550.0
GENE_0477	640.0	220.0	700.0	280.0	360.0	420.0
GENE_0478	830.0	270.0	270.0	410.0	450.0	560.0
GENE_0479	560.0	770.0	370.0	260.0	530.0	360.0
GENE_0480	320.0	1190.0	320.0	142.25039995136828	390.0	470.0
GENE_0481	270.0	290.0	260.0	410.0	300.0	760.0
GENE_0482	400.0	260.0	260.0	290.0	400.0	830.0
GENE_0483	130.0	590.0	350.0	109.3382484155967	370.0	450.0
GENE_0484	670.0	240.0	320.0	400.0	320.0	620.0
GENE_0485	300.0	740.0	480.0	223.71541111497578	510.0	230.0
GENE_0486	270.0	410.0	400.0	510.0	420.0	751.1524866115435
GENE_0487	380.0	340.0	480.0	1070.5115184284452	310.0	634.6823166359919
GENE_0488	280.0	510.0	350.0	220.0	330.0	340.0
GENE_0489	130.0	510.0	410.0	690.0	210.0	340.0
GENE_0490	350.0	710.0	380.0	320.0	320.0	370.0
GENE_0491	290.0	210.0	800.0	230.0	670.0	320.0
GENE_0492	640.0	480.0	380.0	360.0	750.0	300.0
GENE_0493	360.0	280.0	340.0	190.0	795.60865581644	61.89888140103806
GENE_0494	730.0	620.0	420.0	230.0	352.54915634711944	350.0
GENE_0495	220.0	570.0	180.0	500.0	670.0	360.0
GENE_0496	390.0	660.0	130.0	1197.4717711677156	530.0	210.0
GENE_0497	160.0	330.0	680.0	800.0	380.0	590.0
GENE_0498	160.0	340.0	390.0	1320.7497019266314	860.0	830.0
GENE_0499	560.0	390.0	260.0	230.0	320.0	196.24303248181943
GENE_0500	250.0	420.0	750.0	410.0	420.0	580.0
GENE_0501	230.0	470.0	560.0	350.0	410.0	330.0
GENE_0502	180.0	900.0	420.0	200.0	270.0	750.0
GENE_0503	600.0	400.0	450.0	290.0	550.0	100.0
GENE_0504	280.0	490.0	270.0	1060.0	160.0	970.0
GENE_0505	230.0	350.0	400.0	100.0	580.0	330.0
GENE_0506	640.0	390.0	760.0	280.0	300.0	360.0
GENE_0507	220.0	590.0	120.0	550.0	1656.7733493472604	650.0
GENE_0508	390.0	330.0	570.0	580.0	500.0	148.00469972687708
GENE_0509	220.0	550.0	280.0	530.0	1060.0	1331.1066466201707
GENE_0510	170.0	570.0	660.0	370.0	240.0	100.0
GENE_0511	320.0	540.0	700.0	79.9900127222353	250.0	450.0
GENE_0512	190.0	260.0	190.0	440.0	250.0	900.0
GENE_0513	200.0	180.0	90.0	510.0	480.0	240.0
GENE_0514	330.0	290.0	730.0	600.0	290.0	62.50122178317872
GENE_0515	670.0	280.0	410.0	570.6244726767574	580.0	664.2994745970568
GENE_0516	450.0	650.0	370.0	670.0	1965.2783565748978	490.0
GENE_0517	550.0	740.0	480.0	410.0	420.0	1000.0
GENE_0518	500.0	490.0	620.0	680.0	360.0	560.0
GENE_0519	630.0	300.0	380.0	300.0	800.0	914.3803753597423
GENE_0520	380.0	190.0	190.0	1045.496061322717	90.0	680.0
GENE_0521	950.0	360.0	240.0	330.0	860.0	170.0
GENE_0522	390.0	350.0	300.0	690.0	700.0	420.0
GENE_0523	210.0	670.0	280.0	170.0	550.0	370.0
GENE_0524	560.0	160.0	270.0	730.0	380.0	290.0
GENE_0525	280.0	270.0	410.0	210.0	125.9591762257112	400.0
GENE_0526	440.0	250.0	1030.0	396.69197764027086	640.0	360.0
GENE_0527	770.0	270.0	570.0	520.0	730.0	2307.429889422146
GENE_0528	430.0	390.0	450.0	290.0	150.0	550.0
GENE_0529	540.0	300.0	740.0	280.0	783.43745168928	564.4928913456399
GENE_0530	730.0	100.0	540.0	1108.9493171061345	1480.0	600.0
GENE_0531	390.0	330.0	400.0	350.0	120.138753727682	450.0
GENE_0532	540.0	320.0	420.0	560.0	480.0	310.0
GENE_0533	330.0	520.0	200.0	550.0	470.0	930.0
GENE_0534	260.0	690.0	190.0	790.0	310.0	260.0
GENE_0535	320.0	600.0	240.0	420.0	890.8368240940536	930.0
GENE_0536	310.0	620.0	500.0	480.0	330.0	420.0
GENE_0537	600.0	210.0	590.0	170.0	480.0	640.0
GENE_0538	340.0	310.0	460.0	730.0	240.0	240.0
GENE_0539	400.0	400.0	360.0	480.0	330.0	530.0
GENE_0540	310.0	480.0	490.0	110.0	470.0	540.0
GENE_0541	580.0	830.0	270.0	370.0	530.0	270.0
GENE_0542	270.0	180.0	1010.0	310.0	770.0	350.0
GENE_0543	510.0	700.0	350.0	380.0	310.0	750.0
GENE_0544	250.0	310.0	430.0	750.0	949.745990988141	260.0
GENE_0545	660.0	560.0	380.0	270.0	450.0	458.0597354086077
GENE_0546	170.0	380.0	510.0	290.0	590.0	340.0
GENE_0547	380.0	750.0	660.0	1220.191617521757	400.0	190.0
GENE_0548	340.0	360.0	560.0	480.0	220.0	310.0
GENE_0549	470.0	560.0	140.0	830.0	300.0	630.0
GENE_0550	440.0	520.0	380.0	140.0	1639.3258851228882	547.6922514014691
GENE_0551	360.0	110.0	280.0	1543.2119935043809	500.0	280.0
GENE_0552	280.0	390.0	380.0	460.0	560.0	660.0
GENE_0553	560.0	300.0	360.0	260.0	450.0	253.2423529286889
GENE_0554	690.0	290.0	460.0	580.0	430.0	220.0
GENE_0555	200.0	490.0	470.0	440.0	905.7948063487032	80.0
GENE_0556	480.0	550.0	580.0	150.0	410.0	370.0
GENE_0557	440.0	250.0	230.0	490.0	260.0	300.0
GENE_0558	240.0	450.0	540.0	2380.724234890573	270.0	270.0
GENE_0559	250.0	370.0	720.0	1622.5559177509135	660.0	500.0
GENE_0560	300.0	410.0	310.0	660.0	370.0	330.0
GENE_0561	910.0	300.0	180.0	170.0	219.97220302456736	450.0
GENE_0562	760.0	810.0	530.0	220.0	430.0	820.0
GENE_0563	550.0	630.0	400.0	200.0	690.0	182.0477931593728
GENE_0564	140.0	800.0	690.0	460.0	510.0	1022.8951507843183
GENE_0565	430.0	920.0	410.0	820.0	550.0	260.0
GENE_0566	630.0	270.0	680.0	180.0	480.0	240.0
GENE_0567	130.0	100.0	430.0	230.0	1020.0	570.0
GENE_0568	430.0	560.0	580.0	300.0	330.0	370.0
GENE_0569	430.0	200.0	460.0	450.0	460.0	360.0
GENE_0570	740.0	480.0	490.0	1441.837823351077	260.0	420.0
GENE_0571	200.0	660.0	410.0	997.2506212035325	770.0	400.0
GENE_0572	300.0	360.0	340.0	880.0	1100.0	1030.0
GENE_0573	380.0	520.0	420.0	560.0	930.0	260.0
GENE_0574	500.0	400.0	540.0	480.0	1220.0	450.0
GENE_0575	350.0	90.0	580.0	790.0	410.0	660.0
GENE_0576	570.0	420.0	400.0	780.0	650.0	220.0
GENE_0577	800.0	400.0	370.0	1340.385983289529	490.0	68.88847451541892
GENE_0578	550.0	650.0	250.0	310.0	1879.9359101703685	230.0
GENE_0579	250.0	890.0	590.0	440.0	360.0	260.0
GENE_0580	250.0	340.0	440.0	360.0	360.0	300.0
GENE_0581	420.0	300.0	650.0	510.0	560.0	1344.6518053255022
GENE_0582	620.0	660.0	460.0	490.0	441.98242015110003	44.92969111546015
GENE_0583	250.0	630.0	410.0	302.0299523686255	470.0	136.74383791010263
GENE_0584	700.0	320.0	110.0	618.3036946180002	840.0	240.0
GENE_0585	440.0	690.0	560.0	390.0	470.0	250.0
GENE_0586	340.0	520.0	100.0	390.0	460.0	520.0
GENE_0587	500.0	710.0	250.0	1584.9864133358515	710.0	740.0
GENE_0588	770.0	510.0	150.0	450.0	350.0	930.0
GENE_0589	660.0	440.0	770.0	320.0	750.0	350.0
GENE_0590	510.0	390.0	560.0	570.0	480.0	640.0
GENE_0591	140.0	240.0	520.0	380.0	510.0	600.0
GENE_0592	330.0	880.0	450.0	120.0	400.0	420.0
GENE_0593	310.0	190.0	390.0	150.0	561.2186840706306	520.0
GENE_0594	480.0	390.0	420.0	360.0	1545.4570840956856	500.0
GENE_0595	400.0	370.0	560.0	250.0	920.0	280.0
GENE_0596	620.0	590.0	1030.0	550.0	690.0	430.0
GENE_0597	100.0	390.0	620.0	320.0	350.0	580.0
GENE_0598	620.0	200.0	370.0	147.89039215604367	43.90131472512089	280.0
GENE_0599	400.0	550.0	410.0	440.0	520.0	1025.2298612063064
GENE_0600	360.0	400.0	250.0	76.99897749089227	320.0	340.0
GENE_0601	630.0	220.0	350.0	220.0	450.0	470.0
GENE_0602	470.0	340.0	280.0	277.1665183912501	712.5309846863004	370.0
GENE_0603	130.0	180.0	730.0	2426.2876411269926	640.0	250.0
GENE_0604	390.0	820.0	310.0	630.0	215.80244937012782	450.0
GENE_0605	610.0	420.0	230.0	180.0	240.0	260.0
GENE_0606	430.0	230.0	380.0	570.0	450.0	480.0
GENE_0607	730.0	170.0	730.0	450.0	480.0	820.0
GENE_0608	520.0	180.0	350.0	240.0	360.0	385.88187922869406
GENE_0609	70.0	780.0	270.0	240.0	390.0	600.0
GENE_0610	300.0	560.0	490.0	525.7070015514236	350.0	370.0
GENE_0611	300.0	420.0	980.0	310.0	240.0	430.0
GENE_0612	620.0	550.0	360.0	150.0	430.0	350.0
GENE_0613	120.0	360.0	800.0	570.0	590.0	300.0
GENE_0614	490.0	160.0	500.0	560.0	130.0	520.0
GENE_0615	480.0	410.0	480.0	340.0	1962.778295811148	140.0
GENE_0616	400.0	270.0	370.0	730.0	290.0	1500.0
GENE_0617	290.0	730.0	490.0	94.84804302978847	358.7797188870928	839.0063859339385
GENE_0618	650.0	180.0	560.0	570.0	110.0	380.0
GENE_0619	470.0	850.0	300.0	430.0	140.0	190.0
GENE_0620	270.0	390.0	570.0	290.0	770.0	400.0
GENE_0621	220.0	300.0	720.0	480.0	660.0	540.0
GENE_0622	490.0	760.0	360.0	390.0	530.0	440.0
GENE_0623	280.0	1060.0	330.0	280.0	360.0	480.0
GENE_0624	310.0	250.0	390.0	470.0	610.0	937.7143183191239
GENE_0625	840.0	340.0	500.0	570.0	1020.0	240.0
GENE_0626	380.0	220.0	660.0	258.824755648801	200.0	850.0
GENE_0627	700.0	400.0	670.0	640.0	480.0	370.0
GENE_0628	440.0	380.0	580.0	250.0	340.0	420.0
GENE_0629	430.0	350.0	570.0	540.0	520.0	460.0
GENE_0630	270.0	160.0	600.0	440.0	620.0	370.0
GENE_0631	230.0	360.0	960.0	430.0	180.0	198.02812962966598
GENE_0632	330.0	320.0	180.0	640.0	330.0	470.0
GENE_0633	600.0	220.0	380.0	180.0	580.0	460.0
GENE_0634	670.0	660.0	530.0	110.0	425.425138169	480.0
GENE_0635	560.0	180.0	350.0	590.0	400.0	150.0
GENE_0636	220.0	640.0	810.0	560.0	210.0	280.0
GENE_0637	300.0	280.0	170.0	360.0	772.7683611117753	200.0
GENE_0638	770.0	410.0	630.0	500.0362430232833	260.0	540.0
GENE_0639	270.0	710.0	700.0	500.0	380.0	190.77835314740952
GENE_0640	180.0	190.0	670.0	250.0	1473.0044217546672	360.0
GENE_0641	540.0	380.0	650.0	180.0	410.0	480.0
GENE_0642	490.0	790.0	1020.0	320.0	2480.2047227032103	283.3349652243188
GENE_0643	430.0	360.0	390.0	695.9566916277812	420.0	170.0
GENE_0644	650.0	240.0	460.0	800.0	1027.3927152249419	940.0
GENE_0645	530.0	520.0	300.0	2546.3850203751313	150.0	870.0
GENE_0646	420.0	150.0	300.0	680.0	530.0	440.0
GENE_0647	420.0	370.0	120.0	690.0	370.0	470.0
GENE_0648	330.0	370.0	590.0	420.0	260.0	1010.0
GENE_0649	410.0	640.0	650.0	390.0	591.0829994973365	560.0
GENE_0650	360.0	280.0	400.0	400.0	480.0	220.0
GENE_0651	380.0	380.0	520.0	161.72463899146783	1060.4876237637607	360.0
GENE_0652	450.0	650.0	860.0	390.0	570.0	420.0
GENE_0653	300.0	300.0	210.0	200.62307066720797	480.0	510.0
GENE_0654	440.0	480.0	430.0	750.0	600.0	880.0
GENE_0655	480.0	330.0	430.0	1200.0	110.29720586608863	530.0
GENE_0656	890.0	370.0	340.0	3082.0834416158577	1832.0225470191247	510.0
GENE_0657	430.0	330.0	710.0	270.0	460.0	260.0
GENE_0658	240.0	260.0	150.0	1026.2474121821033	270.0	220.0
GENE_0659	330.0	330.0	480.0	750.0	450.0	430.0
GENE_0660	400.0	870.0	680.0	770.0	340.0	990.0
GENE_0661	620.0	470.0	360.0	450.0	430.0	180.0
GENE_0662	1050.0	670.0	310.0	195.66782653941726	810.0	940.0
GENE_0663	260.0	290.0	540.0	777.5124896172763	420.0	550.0
GENE_0664	400.0	200.0	350.0	330.0	540.0	460.0
GENE_0665	400.0	490.0	280.0	340.0	510.0	320.0
GENE_0666	200.0	480.0	420.0	540.0	110.0	570.0
GENE_0667	410.0	530.0	560.0	330.0	500.0	540.0
GENE_0668	270.0	570.0	130.0	400.0	700.0	530.0
GENE_0669	490.0	670.0	240.0	560.0	330.0	390.0
GENE_0670	610.0	510.0	130.0	850.0	150.0	280.0
GENE_0671	300.0	440.0	490.0	440.0	861.3672383017037	300.0
GENE_0672	460.0	290.0	730.0	968.3597448217132	260.0	510.0
GENE_0673	420.0	300.0	600.0	440.0	190.0	440.0
GENE_0674	590.0	310.0	260.0	790.0	230.0	590.0
GENE_0675	630.0	170.0	320.0	280.0	680.0	1921.6552346107444
GENE_0676	210.0	200.0	440.0	220.0	350.0	250.0
GENE_0677	580.0	360.0	270.0	740.0	390.0	430.0
GENE_0678	280.0	490.0	350.0	150.0	441.24029090709473	520.0
GENE_0679	530.0	550.0	480.0	330.0	118.22246449666319	420.0
GENE_0680	410.0	640.0	230.0	300.0	250.0	260.0
GENE_0681	300.0	330.0	110.0	450.0	450.0	430.0
GENE_0682	670.0	940.0	540.0	890.0	290.0	680.0
GENE_0683	690.0	380.0	140.0	310.0	60.0	790.0
GENE_0684	440.0	420.0	290.0	515.609411332846	540.0	790.7518743325013
GENE_0685	220.0	490.0	450.0	830.0	450.0	510.0
GENE_0686	380.0	350.0	650.0	510.0	290.0	630.0
GENE_0687	330.0	310.0	270.0	310.0	717.4686616896139	180.0
GENE_0688	880.0	470.0	420.0	560.0	280.0	650.0
GENE_0689	640.0	590.0	310.0	450.0	710.0	460.0
GENE_0690	460.0	400.0	610.0	670.0	510.0	630.0
GENE_0691	420.0	230.0	310.0	558.7747163723179	560.0	360.0
GENE_0692	380.0	640.0	350.0	1214.3254712756761	220.0	680.0
GENE_0693	570.0	540.0	600.0	200.0	200.0	1285.2910733976928
GENE_0694	550.0	720.0	760.0	390.0	272.86311813756646	76.3115042420223
GENE_0695	490.0	260.0	720.0	370.0	220.0	450.0
GENE_0696	380.0	260.0	590.0	636.593053588386	440.0	330.0
GENE_0697	700.0	580.0	1070.0	170.0	500.0	200.0
GENE_0698	430.0	350.0	570.0	1768.6193316095323	310.0	820.0
GENE_0699	340.0	610.0	490.0	320.0	1020.0	520.0
GENE_0700	530.0	860.0	130.0	1310.2161574384675	890.0	660.0
GENE_0701	860.0	330.0	860.0	132.6523640467761	560.0	350.0
GENE_0702	250.0	280.0	430.0	690.0	620.0	580.0
GENE_0703	370.0	510.0	540.0	1082.8684908437776	270.0	550.0
GENE_0704	510.0	470.0	700.0	630.0	440.0	350.0
GENE_0705	480.0	400.0	640.0	310.0	890.0	630.0
GENE_0706	360.0	380.0	200.0	420.0	780.0	440.0
GENE_0707	190.0	190.0	160.0	410.0	470.0	1090.1363845705766
GENE_0708	530.0	990.0	280.0	350.0	190.0	306.3974860053202
GENE_0709	370.0	300.0	750.0	1286.4683555332938	1315.9267991334584	626.1971795012198
GENE_0710	720.0	210.0	830.0	210.0	380.0	380.0
GENE_0711	580.0	530.0	1020.0	670.0	1418.619560569102	510.0
GENE_0712	230.0	50.0	880.0	400.0	580.0	560.0
GENE_0713	340.0	230.0	330.0	1000.0	530.0	70.86697425553939
GENE_0714	450.0	430.0	440.0	186.89517909911478	350.0	310.0
GENE_0715	570.0	320.0	270.0	370.0	283.4584255174818	650.0
GENE_0716	330.0	270.0	220.0	410.0	690.0	410.0
GENE_0717	480.0	410.0	490.0	982.9249105390055	235.82458085320167	895.2193963080695
GENE_0718	220.0	250.0	360.0	1058.0150931460225	300.0	740.0
GENE_0719	520.0	460.0	940.0	700.0	450.0	320.0
GENE_0720	440.0	710.0	580.0	810.0	790.0	820.0
GENE_0721	390.0	700.0	420.0	780.0	500.0	740.0
GENE_0722	660.0	420.0	230.0	730.0	270.0	230.03984843879988
GENE_0723	330.0	440.0	580.0	220.0	380.0	460.0
GENE_0724	770.0	590.0	280.0	1351.5866669380596	230.0	450.0
GENE_0725	930.0	210.0	430.0	420.0	290.0	640.0
GENE_0726	190.0	1540.0	580.0	730.0	480.0	590.0
GENE_0727	350.0	370.0	1090.0	380.0	90.0	986.5866369998654
GENE_0728	560.0	1120.0	700.0	480.0	230.0	390.0
GENE_0729	780.0	370.0	1250.0	160.0	360.0	420.0
GENE_0730	460.0	630.0	140.0	420.0	179.50048562019242	580.0
GENE_0731	160.0	790.0	380.0	680.0	270.0	660.0
GENE_0732	220.0	180.0	210.0	450.0	580.0	600.0
GENE_0733	420.0	150.0	950.0	310.0	380.0	390.0
GENE_0734	610.0	250.0	680.0	229.5392339942982	470.0	570.0
GENE_0735	740.0	160.0	370.0	250.0	2472.244746737393	490.0
GENE_0736	210.0	430.0	480.0	560.0	420.0	390.0
GENE_0737	380.0	700.0	670.0	420.0	130.0	300.0
GENE_0738	350.0	230.0	440.0	200.0	228.06964841020738	720.0
GENE_0739	480.0	640.0	690.0	710.523738796795	170.0	520.0
GENE_0740	350.0	450.0	290.0	530.0	140.0	410.0
GENE_0741	640.0	750.0	860.0	300.0	520.0	470.0
GENE_0742	280.0	390.0	540.0	971.5266670545162	480.0	620.0
GENE_0743	280.0	530.0	710.0	360.0	320.0	310.0
GENE_0744	120.0	260.0	330.0	450.0	480.0	610.0
GENE_0745	370.0	340.0	410.0	190.0	760.0	730.0
GENE_0746	260.0	390.0	300.0	300.0	560.0	340.0
GENE_0747	620.0	560.0	260.0	182.20037874216106	390.0	260.0
GENE_0748	430.0	420.0	760.0	350.0	560.0	500.0
GENE_0749	480.0	970.0	270.0	530.0	1071.3763571289335	520.0
GENE_0750	760.0	610.0	430.0	530.0	1973.4766512590131	560.0
GENE_0751	500.0	700.0	370.0	390.0	670.0	640.0
GENE_0752	240.0	290.0	500.0	180.0	330.0	340.0
GENE_0753	400.0	290.0	670.0	560.0	350.0	800.0
GENE_0754	490.0	300.0	430.0	610.0	670.0	350.0
GENE_0755	790.0	760.0	650.0	690.0	160.0	420.0
GENE_0756	840.0	440.0	230.0	200.0	330.0	210.0
GENE_0757	480.0	440.0	910.0	580.0	420.0	320.0
GENE_0758	250.0	450.0	420.0	1128.5785027676748	460.0	190.0
GENE_0759	100.0	280.0	480.0	200.0	1609.9932528075071	330.0
GENE_0760	300.0	570.0	790.0	410.0	200.0	480.0
GENE_0761	1240.0	720.0	500.0	240.0	430.0	480.0
GENE_0762	170.0	860.0	290.0	163.24956289662492	290.0	260.0
GENE_0763	390.0	480.0	240.0	360.0	360.0	360.0
GENE_0764	330.0	470.0	480.0	300.0	380.0	940.0
GENE_0765	610.0	880.0	380.0	450.0	200.0	220.0
GENE_0766	260.0	320.0	380.0	530.0	440.0	510.0
GENE_0767	370.0	300.0	380.0	500.0	909.6192173993353	360.0
GENE_0768	730.0	160.0	430.0	517.5735288731078	240.0	250.0
GENE_0769	560.0	510.0	490.0	300.0	100.0	270.0
GENE_0770	300.0	280.0	130.0	728.589209939971	610.0	510.0
GENE_0771	230.0	580.0	400.0	490.0	147.75010310591313	290.0
GENE_0772	190.0	1190.0	360.0	490.0	520.0	610.0
GENE_0773	330.0	450.0	420.0	310.0	250.0	530.0
GENE_0774	240.0	320.0	610.0	420.0	350.0	310.0
GENE_0775	510.0	170.0	540.0	310.0	370.0	460.0
GENE_0776	320.0	730.0	300.0	400.0	530.0	390.0
GENE_0777	400.0	500.0	390.0	620.0	936.5540153685222	390.0
GENE_0778	250.0	480.0	280.0	240.0	205.20265987442133	530.0
GENE_0779	520.0	310.0	970.0	280.0	960.0	840.0
GENE_0780	320.0	400.0	310.0	230.0	770.0	390.0
GENE_0781	750.0	300.0	310.0	340.0	290.0	1567.2994735969892
GENE_0782	400.0	400.0	490.0	370.0	1690.6974411393842	290.0
GENE_0783	330.0	730.0	440.0	81.01653885604287	340.0	230.0
GENE_0784	630.0	320.0	330.0	1181.6285602600074	662.2232833131949	370.0
GENE_0785	600.0	480.0	90.0	290.0	850.0	480.0
GENE_0786	600.0	480.0	600.0	220.0	730.9727324350999	1390.0
GENE_0787	220.0	440.0	450.0	360.0	490.0	610.0
GENE_0788	250.0	300.0	440.0	690.0	210.0	160.0
GENE_0789	360.0	700.0	290.0	480.0	340.0	140.82567909914323
GENE_0790	580.0	460.0	590.0	740.0	190.0	580.0
GENE_0791	670.0	440.0	160.0	250.0	582.7697200749882	410.0
GENE_0792	390.0	320.0	390.0	1020.0	440.0	685.961832342409
GENE_0793	140.0	750.0	260.0	620.0	320.0	210.0
GENE_0794	140.0	360.0	230.0	680.0	230.0	810.0
GENE_0795	200.0	710.0	390.0	200.0	464.5701689336067	550.0
GENE_0796	120.0	380.0	280.0	240.0	89.81854080207998	470.0
GENE_0797	500.0	540.0	490.0	840.0	460.0	230.0
GENE_0798	240.0	750.0	110.0	230.0	640.0	340.0
GENE_0799	690.0	180.0	390.0	480.0	330.0	190.0
GENE_0800	840.0	120.0	110.0	310.0	530.0	678.5586184351527
GENE_0801	530.0	310.0	800.0	440.0	181.89284886599586	1563.4296630387562
GENE_0802	390.0	600.0	480.0	600.0	440.0	520.0
GENE_0803	430.0	450.0	590.0	132.97039376693743	150.0	330.0
GENE_0804	1160.0	220.0	640.0	600.0	260.0	600.0
GENE_0805	260.0	200.0	430.0	94.31385480904221	240.0	420.0
GENE_0806	500.0	560.0	340.0	460.0	710.0	630.0
GENE_0807	180.0	280.0	420.0	610.0	280.0	520.0
GENE_0808	550.0	300.0	390.0	210.0	690.0	240.0
GENE_0809	610.0	740.0	600.0	540.0	1216.6620710479049	300.0
GENE_0810	320.0	570.0	440.0	430.0	320.0	350.0
GENE_0811	380.0	370.0	270.0	709.9625830911874	600.0	160.0
GENE_0812	190.0	110.0	580.0	430.0	526.7039911149989	270.0
GENE_0813	480.0	420.0	290.0	560.0	560.0	210.0
GENE_0814	940.0	670.0	580.0	330.0	460.0	550.0
GENE_0815	410.0	250.0	190.0	390.0	470.0	770.0
GENE_0816	200.0	410.0	370.0	380.0	270.0	490.0
GENE_0817	160.0	740.0	580.0	370.0	920.0	720.0
GENE_0818	620.0	390.0	360.0	520.0	670.0	240.0
GENE_0819	270.0	660.0	460.0	1160.0	385.82165657783133	420.0
GENE_0820	120.0	220.0	640.0	460.0	380.0	560.0
GENE_0821	230.0	400.0	300.0	733.3441840596942	400.0	1290.0
GENE_0822	390.0	610.0	230.0	120.0	260.0	192.62487054829984
GENE_0823	820.0	280.0	300.0	1130.0	350.0	270.0
GENE_0824	380.0	150.0	1000.0	610.0	310.0	830.0
GENE_0825	440.0	350.0	150.0	750.0	420.0	270.0
GENE_0826	650.0	730.0	740.0	140.0	230.0	470.0
GENE_0827	1080.0	630.0	740.0	390.0	520.0	430.0
GENE_0828	60.0	550.0	300.0	310.0	350.0	610.0
GENE_0829	630.0	170.0	520.0	460.0	420.0	270.0
GENE_0830	570.0	350.0	690.0	420.0	510.0	460.0
GENE_0831	240.0	260.0	260.0	440.0	1086.3782681390696	830.0
GENE_0832	450.0	1150.0	150.0	300.0	350.0	510.0
GENE_0833	220.0	690.0	240.0	930.0	350.0	270.0
GENE_0834	260.0	300.0	370.0	320.0	37.79202755193595	220.0
GENE_0835	590.0	350.0	370.0	1194.5790638146407	390.0	800.0
GENE_0836	750.0	570.0	440.0	360.0	440.0	570.0
GENE_0837	370.0	370.0	370.0	560.0	250.0	156.4174953926495
GENE_0838	540.0	200.0	390.0	780.0	640.0	560.0
GENE_0839	170.0	430.0	240.0	760.0	910.0	540.0
GENE_0840	720.0	650.0	280.0	180.0	480.0	2375.023756060085
GENE_0841	590.0	360.0	580.0	470.0	544.4941164780915	330.0
GENE_0842	90.0	500.0	340.0	410.0	330.0	568.417761804168
GENE_0843	480.0	750.0	160.0	530.0	662.8299075444891	1927.5050569349028
GENE_0844	310.0	250.0	490.0	885.6021569866393	540.0	600.0
GENE_0845	70.0	450.0	520.0	360.0	304.9201121006318	1736.5051014810779
